country,alert_lab,alert_type,alert_stringency,impact_mean,eff_mean,ppv,missed_prop,delay_mean,std_impact,std_eff,std_ppv,std_missed,std_delay,util_score
ZWE,≥ 5 per 10K,rate,6,68,1.2,0,0,2,0.8,1.2,NA,0.3,-0.7,NA
ZWE,≥ 7.5 per 10K,rate,7,68,1.2,0,0,2,0.8,1.2,NA,0.3,-0.7,NA
BEN,≥ 50 weekly,case,5,NA,NA,NA,1,NA,NA,NA,NA,-1.7,NA,NA
BDI,≥ 100 weekly,case,6,NA,NA,NA,1,NA,NA,NA,NA,-1.5,NA,NA
BEN,≥ 100 weekly,case,6,NA,NA,NA,1,NA,NA,NA,NA,-1.7,NA,NA
GHA,≥ 100 weekly,case,6,NA,NA,NA,1,NA,NA,NA,NA,-1.4,NA,NA
UGA,≥ 100 weekly,case,6,NA,NA,NA,1,NA,NA,NA,NA,-1.5,NA,NA
BDI,≥ 250 weekly,case,7,NA,NA,NA,1,NA,NA,NA,NA,-1.5,NA,NA
BEN,≥ 250 weekly,case,7,NA,NA,NA,1,NA,NA,NA,NA,-1.7,NA,NA
CMR,≥ 250 weekly,case,7,NA,NA,NA,1,NA,NA,NA,NA,-2.2,NA,NA
GHA,≥ 250 weekly,case,7,NA,NA,NA,1,NA,NA,NA,NA,-1.4,NA,NA
GIN,≥ 250 weekly,case,7,NA,NA,NA,1,NA,NA,NA,NA,-1.8,NA,NA
KEN,≥ 250 weekly,case,7,NA,NA,NA,1,NA,NA,NA,NA,-1.9,NA,NA
MOZ,≥ 250 weekly,case,7,NA,NA,NA,1,NA,NA,NA,NA,-1.8,NA,NA
SLE,≥ 250 weekly,case,7,NA,NA,NA,1,NA,NA,NA,NA,-2,NA,NA
TCD,≥ 250 weekly,case,7,NA,NA,NA,1,NA,NA,NA,NA,-2.3,NA,NA
TZA,≥ 250 weekly,case,7,NA,NA,NA,1,NA,NA,NA,NA,-1.5,NA,NA
UGA,≥ 250 weekly,case,7,NA,NA,NA,1,NA,NA,NA,NA,-1.5,NA,NA
ZWE,≥ 250 weekly,case,7,NA,NA,NA,1,NA,NA,NA,NA,-3.2,NA,NA
BDI,≥ 500 total,cum case,6,NA,NA,NA,1,NA,NA,NA,NA,-1.5,NA,NA
BEN,≥ 500 total,cum case,6,NA,NA,NA,1,NA,NA,NA,NA,-1.7,NA,NA
GHA,≥ 500 total,cum case,6,NA,NA,NA,1,NA,NA,NA,NA,-1.4,NA,NA
GIN,≥ 500 total,cum case,6,NA,NA,NA,1,NA,NA,NA,NA,-1.8,NA,NA
KEN,≥ 500 total,cum case,6,NA,NA,NA,1,NA,NA,NA,NA,-1.9,NA,NA
MOZ,≥ 500 total,cum case,6,NA,NA,NA,1,NA,NA,NA,NA,-1.8,NA,NA
UGA,≥ 500 total,cum case,6,NA,NA,NA,1,NA,NA,NA,NA,-1.5,NA,NA
BDI,≥ 1000 total,cum case,7,NA,NA,NA,1,NA,NA,NA,NA,-1.5,NA,NA
BEN,≥ 1000 total,cum case,7,NA,NA,NA,1,NA,NA,NA,NA,-1.7,NA,NA
GHA,≥ 1000 total,cum case,7,NA,NA,NA,1,NA,NA,NA,NA,-1.4,NA,NA
GIN,≥ 1000 total,cum case,7,NA,NA,NA,1,NA,NA,NA,NA,-1.8,NA,NA
GNB,≥ 1000 total,cum case,7,NA,NA,NA,1,NA,NA,NA,NA,-2.7,NA,NA
KEN,≥ 1000 total,cum case,7,NA,NA,NA,1,NA,NA,NA,NA,-1.9,NA,NA
MOZ,≥ 1000 total,cum case,7,NA,NA,NA,1,NA,NA,NA,NA,-1.8,NA,NA
NER,≥ 1000 total,cum case,7,NA,NA,NA,1,NA,NA,NA,NA,-2,NA,NA
SLE,≥ 1000 total,cum case,7,NA,NA,NA,1,NA,NA,NA,NA,-2,NA,NA
TCD,≥ 1000 total,cum case,7,NA,NA,NA,1,NA,NA,NA,NA,-2.3,NA,NA
TZA,≥ 1000 total,cum case,7,NA,NA,NA,1,NA,NA,NA,NA,-1.5,NA,NA
UGA,≥ 1000 total,cum case,7,NA,NA,NA,1,NA,NA,NA,NA,-1.5,NA,NA
ZWE,≥ 1000 total,cum case,7,NA,NA,NA,1,NA,NA,NA,NA,-3.2,NA,NA
BDI,≥ 5 per 10K,rate,6,NA,NA,NA,1,NA,NA,NA,NA,-1.5,NA,NA
GHA,≥ 5 per 10K,rate,6,NA,NA,NA,1,NA,NA,NA,NA,-1.4,NA,NA
KEN,≥ 5 per 10K,rate,6,NA,NA,NA,1,NA,NA,NA,NA,-1.9,NA,NA
MOZ,≥ 5 per 10K,rate,6,NA,NA,NA,1,NA,NA,NA,NA,-1.8,NA,NA
BDI,≥ 7.5 per 10K,rate,7,NA,NA,NA,1,NA,NA,NA,NA,-1.5,NA,NA
BEN,≥ 7.5 per 10K,rate,7,NA,NA,NA,1,NA,NA,NA,NA,-1.7,NA,NA
GHA,≥ 7.5 per 10K,rate,7,NA,NA,NA,1,NA,NA,NA,NA,-1.4,NA,NA
GIN,≥ 7.5 per 10K,rate,7,NA,NA,NA,1,NA,NA,NA,NA,-1.8,NA,NA
GNB,≥ 7.5 per 10K,rate,7,NA,NA,NA,1,NA,NA,NA,NA,-2.7,NA,NA
KEN,≥ 7.5 per 10K,rate,7,NA,NA,NA,1,NA,NA,NA,NA,-1.9,NA,NA
MOZ,≥ 7.5 per 10K,rate,7,NA,NA,NA,1,NA,NA,NA,NA,-1.8,NA,NA
TZA,≥ 7.5 per 10K,rate,7,NA,NA,NA,1,NA,NA,NA,NA,-1.5,NA,NA
UGA,≥ 7.5 per 10K,rate,7,NA,NA,NA,1,NA,NA,NA,NA,-1.5,NA,NA
