country,alert_lab,alert_type,alert_stringency,impact_mean,eff_mean,ppv,missed_prop,delay_mean,std_impact,std_eff,std_ppv,std_missed,std_delay,util_score
GIN,≥ 25 total,cum case,3,1197,0.8,0.5,0,-2,1.7,1.7,-0.2,0.6,1,4.8
COD,≥ 250 weekly,case,7,2474.2,0.2,0.5,0.8,5,3.2,1.5,2,-1,-1,4.7
SLE,≥ 5 total,cum case,1,3412.2,3.9,0.7,0,-4.8,1.3,1.4,0,0.7,1.3,4.7
MWI,≥ 50 weekly,case,5,1512.2,1.5,0.8,0.2,11.8,1.4,1.4,2.1,0.1,-0.4,4.6
SLE,≥ 25 total,cum case,3,3479.9,4.1,0.7,0,-4.2,1.4,1.5,-0.2,0.7,1.2,4.6
GIN,≥ 5 total,cum case,1,1056.5,0.7,0.4,0,-8,1.1,1.2,-0.6,0.6,2.2,4.5
KEN,≥ 250 weekly,case,7,3278,0.9,1,0.9,19,3.1,2.6,1.8,-1.3,-2,4.2
SOM,≥ 2.5 per 10K,rate,5,3403.3,4.1,0.8,0.8,3.4,2.2,3.5,0.7,-1.7,-0.5,4.2
MWI,≥ 25 weekly,case,4,1639.4,1.3,0.5,0,5.2,1.8,0.9,0.5,0.7,0.2,4.1
TCD,≥ 50 total,cum case,4,4483,5.7,1,0,1.5,1.2,1.2,0.7,0.5,0.5,4.1
NGA,≥ 2.5 per 10K,rate,5,4490.5,7.9,1,0.9,3.5,2.1,2.8,1.5,-1.7,-0.6,4.1
SSD,≥ 2 weekly,case,1,1201.5,1,0.7,0,-5.5,1.2,1,0,0.6,1.2,4
GHA,≥ 5 weekly,case,2,1784.2,0.6,0.6,0,-11.7,1,1,-0.1,0.8,1.2,3.9
SSD,≥ 10 total,cum case,2,1131.9,0.9,0.6,0,-8.8,1,0.6,-0.2,0.6,1.9,3.9
TCD,≥ 100 total,cum case,5,4440.5,5.7,1,0,2,1.1,1.1,0.7,0.5,0.4,3.8000000000000003
MOZ,3-week,trend,6,1075.2,0.4,0.6,0,-6,0.9,0.9,0.6,0.8,0.6,3.8
MOZ,≥ 2 weekly,case,1,1074,0.4,0.6,0,-6,0.9,0.9,0.6,0.8,0.6,3.8
MOZ,≥ 5 weekly,case,2,1074,0.4,0.6,0,-6,0.9,0.9,0.6,0.8,0.6,3.8
UGA,≥ 100 total,cum case,5,85.5,0.2,0.2,0,6,0.1,0.2,3.6,0.7,-0.8,3.8
TCD,≥ 10 weekly,case,3,4362.5,5.6,1,0,3,1.1,1.1,0.7,0.5,0.3,3.7
TCD,≥ 25 weekly,case,4,4362.5,5.6,1,0,3,1.1,1.1,0.7,0.5,0.3,3.7
TZA,≥ 25 weekly,case,4,674.7,0.6,0.4,0,2.3,1.1,1.5,-0,0.8,0.3,3.7
GIN,≥ 10 total,cum case,2,1068,0.8,0.4,0,-3.2,1.2,1.3,-0.6,0.6,1.2,3.7
TCD,≥ .25 per 10K,rate,1,4362.5,5.6,1,0,3,1.1,1.1,0.7,0.5,0.3,3.7
TCD,≥ .5 per 10K,rate,2,4362.5,5.6,1,0,3,1.1,1.1,0.7,0.5,0.3,3.7
MWI,≥ 500 total,cum case,6,1349.4,1.3,0.8,0.2,12.2,0.9,1,2.1,0.1,-0.5,3.6
TCD,≥ 50 weekly,case,5,4299,5.5,1,0,3.5,1,1,0.7,0.5,0.2,3.4
TCD,≥ 1 per 10K,rate,3,4283,5.5,1,0,4,1,1,0.7,0.5,0.1,3.3
SSD,1-week,trend,2,1092,0.9,0.6,0,-7.3,0.8,0.7,-0.5,0.6,1.6,3.2
